model_mapping,sonnet=glm-5,opus=glm-5
model_mapping,sonnet=glm-5,opus=glm-5
pinn-tgt-01,with,47,attempt=1
pinn-tgt-01,without,55,attempt=1
pinn-exp-01,with,184,attempt=1
pinn-exp-01,without,254,attempt=1
